Role,Company,Location,City_Key,State,Salary,Real_Wage,Unemployment_Rate,Cost of Living Index,description,Latitude,Longitude
Data Scientist,Beacon Hill Staffing Group,"Raleigh, Wake County",raleigh,NC,122112.03,171373.2790681356,2.8,71.255," NO C2C, W2 ONLY, NO SPONSHORSHIP CLIENT DAY TO DAY: As a Senior Data Scientist llI, you will leverage your advanced analytical skills to extract insights from complex datasets. Your expertise will drive data-driven decision-making and contribute to the development of innovative solutions. You will collaborate with cross-functional teams to enhance business strategies and drive growth through actionable data analysis. RESPONSIBILITIES Experience with machine learning algorithms, including deep …",35.773993,-78.63276
Data Scientist,UNITY COMPASS LIMITED LIABILITY COMPANY,"West Springfield, Fairfax County",west springfield,VA,152986.16,231062.01480138948,2.7,66.21000000000001,"Job Title: Data Scientist SME Location: Alexandria, Virginia & Chantilly, Virginia Job Type: On-site Clearance Required: Top Secret/SCI Job Overview: We are seeking a highly experienced Data Scientist (Subject Matter Expert) to lead complex, mission-critical projects that apply advanced data science, machine learning, and artificial intelligence techniques to address key intelligence and defense challenges. In this specialized role, you will provide technical leadership and strategic direction …",38.776903,-77.187169
Data Scientist,Chubb,"Philadelphia, Philadelphia County",philadelphia,PA,169817.81,218710.55444651938,3.4,77.64500000000001,"Chubb’s North America Data and Analytics Division is currently seeking an experienced Senior Data Scientist with 5 years of industry experience to join our fast-paced, high-energy team. As a Senior Data Scientist for NA Analytics, you will perform quantitative data analysis to enable organizational decision making and develop solutions to complex business problems and create value to the business. This position offers exposure to a wide variety of analytics tools and technologies as well as uni…",39.955624,-75.164753
Data Scientist,Chubb,"Philadelphia, Philadelphia County",philadelphia,PA,124676.85,160572.92807006245,3.4,77.64500000000001,"This position offers the opportunity to leverage the entire spectrum of analytics tools towards solving a wide variety of business problems. The focus is on applying a combination of industry-standard practices and innovative ideas, utilizing structured and unstructured data from multiple sources, and employing AI, machine learning, and statistical techniques to build, evaluate, and implement models. Our team focuses on creating analytical solutions that solve real-world business problems for a…",39.955624,-75.164753
Data Scientist,Tech Providers Inc.,"Alhambra, Los Angeles County",alhambra,CA,157405.78,206890.55181931698,4.38,76.08166666666666,"Hi Professional, I hope you’re doing well and having a great day! My name is Ankish , and I work with TPI Global Solutions , a global talent solutions firm providing a wide range of staffing and consulting services to leading technology companies and professionals like you. I came across your profile on a job portal and was impressed with your background. Based on your experience, I believe you could be a great fit for an exciting opportunity we are currently supporting. Job Title: Principal Da…",34.083796,-118.11812
Data Scientist,Jobot,"Los Angeles, Los Angeles County",los angeles,CA,193683.33,254572.93259436134,5.2,76.08166666666666,"Urgently hiring Senior Data Scientist! This Jobot Job is hosted by: Kendall Kaing Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $80,000 - $130,000 per year A bit about us: Are you interested in working for the world's largest cannabis market with a footprint that covers the entire breadth of the state of California? Are you someone who wants to be part of the growth of a fast-growing industry? At client company, our mission is clear: to pro…",36.1,-119.6
Data Scientist,Medline Industries - Transportation & Operations,"Northbrook, Cook County",northbrook,IL,114483.25,148045.06659769817,4.5,77.33,"Job Summary Medline is seeking a lead data scientist for its Mpower team, responsible for building an AI driven supply chain optimization and resiliency product. As a Lead Data Scientist on the Mpower team, you will drive innovation by building and deploying traditional machine learning and LLM-based models to optimize supply chain and enhance customer experience. Your work will directly contribute to Mpower’s success and customer satisfaction. Job Description MAJOR RESPONSIBILITIES Build tradi…",42.127527,-87.828955
Data Scientist,Medline Industries - Transportation & Operations,"Northbrook, Cook County",northbrook,IL,128180.32,165757.55851545327,4.5,77.33,"Job Summary Medline Industries is seeking a Lead Data Scientist to drive the design, development, and deployment of AI and machine learning solutions that create measurable business impact. This role requires strong technical expertise in machine learning and Generative AI (GenAI). The successful candidate will collaborate with cross-functional teams to deliver AI enabled business solutions from proof of concept to full-scale deployment. Job Description MAJOR RESPONSIBILITIES Scope, design, and…",42.127527,-87.828955
Data Scientist,Capgemini Government Solutions,"Washington, Washington, D.C.","washington, d.c.",WA,158285.94,185108.10431528476,3.6,85.51,"Capgemini Government Solutions (CGS) LLC is seeking a highly motivated Senior Data Scientist to lead the development and deployment of models and methodologies that enable pattern analysis, predictive modeling, intelligent automation, and AI/ML solutions. The successful candidate will have the opportunity to conceive and deliver innovative data science solutions to the U.S. Public Sector to help address critical national and global challenges such as health, climate change, and national securit…",38.912068,-77.019023
Data Scientist,Mastercard,"O Fallon, Saint Charles County",o fallon,MO,107593.64,163665.40918770916,3.25,65.74,"Our Purpose Mastercard powers economies and empowers people in 200 countries and territories worldwide. Together with our customers, we're helping build a sustainable economy where everyone can prosper. We support a wide range of digital payments choices, making transactions secure, simple, smart and accessible. Our technology and innovation, partnerships and networks combine to deliver a unique set of products and services that help people, businesses and governments realize their greatest pot…",38.810608,-90.699848
Data Scientist,Mastercard,"Ny State Campus, Albany County",ny state campus,NY,93806.27,109978.62711765051,4.1,85.295,"Our Purpose Mastercard powers economies and empowers people in 200 countries and territories worldwide. Together with our customers, we’re helping build a sustainable economy where everyone can prosper. We support a wide range of digital payments choices, making transactions secure, simple, smart and accessible. Our technology and innovation, partnerships and networks combine to deliver a unique set of products and services that help people, businesses and governments realize their greatest pot…",42.679357,-73.808983
Data Scientist,Nelson Scientific Labs Llc,"Potomac, Montgomery County",potomac,MD,105127.3,142352.47122545703,2.7,73.85,"Job Description Job Description Nelson Scientific Labs seeks a bioinformatician/data scientist with a strong background in biological sciences to support big data analyses using statistical and bioinformatics approaches, prediction model-building in compliance with FDA biomarker qualification guidelines for our federally funded biomedical research projects. The successful candidate holds a Phd in bioinformatics, biostatistics, computational biology, computer science, or closely related discipli…",39.018165,-77.208591
Data Scientist,Amazon,"Newark, Essex County",newark,NJ,183970.38,245293.84,3.8,75.0,"Description At Audible, we believe stories have the power to transform lives. It's why we work with some of the world's leading creators to produce and share audio storytelling with our millions of global listeners. We are dreamers and inventors who come from a wide range of backgrounds and experiences to empower and inspire each other. Imagine your future with us. ABOUT THIS ROLE We are seeking a talented data scientist to join the Audible economics team. Our group of economists, data scientis…",40.73111,-74.17421
Data Scientist,Stanford University,"Stanford, Santa Clara County",stanford,CA,169265.33,222478.47269381586,4.38,76.08166666666666,"Data Scientist Graduate School of Education, Stanford, California, United States Information Analytics Post Date Oct 16, 2025 Requisition  107547 TheStanford Center on Early Childhood, an initiative of theStanford Accelerator for Learning, seeks a full time Data Scientist to join theRAPID Survey Projectteam. The Data Scientist will oversee the work of a team of analysts, establishing and maintaining quality standards, reviewing outputs, and ensuring that research processes are executed with pre…",37.41888,-122.1696
Data Scientist,Home Depot,"Atlanta, Fulton County",atlanta,GA,155130.89,215310.04857737687,3.3,72.05,"Position Purpose: The Data Scientist is responsible for supporting data science initiatives that drive business profitability, increased efficiencies and improved customer experience. This role applies industry-leading analytical methodologies for working with large datasets to extract meaningful business insight and creatively solve business problems. Data Scientists are also responsible for ensuring that developed codes are documented into a library of reusable algorithms. Based on the specif…",33.795821,-84.38763
Data Scientist,Eliassen Group,"Englewood, Arapahoe County",englewood,CO,133063.55,184759.16412107748,4.6,72.02,"Data Scientist Englewood, CO Type: Contract Category: Data Industry: Communications Reference ID: JN -112025-104302 Date Posted: 11/04/2025 Shortcut: http://careers.eliassen.com/g9h9Km  Description  Recommended Jobs Description: Our client, an industry leader in telecommunications, has an excellent opportunity for a Data Scientist to work on a 12month renewable contract opportunity. Work will be a hybrid on-site/remote schedule in Englewood, CO.The Data Scientist will focus on Prompt Engineerin…",39.646985,-104.971884
Data Scientist,SAIC,"Augusta, Richmond County",augusta,GA,204100.53,283276.238723109,3.3,72.05,"Description SAIC, a leading provider of systems engineering & integration, systems development & deployment, intelligence analysis and targeting, and training solutions for the Intelligence Community, is seeking creative and dedicated professionals to fulfill their career goals and objectives while delivering mission excellence on programs of national importance. SAIC is seeking a highly motivated Data Scientist to join our team of professionals providing technical and program services to prope…",33.4695,-82.02108
Data Scientist,Robert Half,"Tyler Park, Hudson County",tyler park,NJ,125353.56,167138.08,3.8,75.0,"Description Principal Data Scientist - Data & AI (Hybrid) Global Technology Organization We're partnering with a global leader in secure, cloud-based data management and collaboration solutions to help them hire an accomplished Principal Data Scientist to join their expanding Data & AI organization. This team is building next-generation intelligent products used by thousands of enterprise customers worldwide. In this role, you'll drive the development of advanced machine learning capabilities t…",40.73472,-74.05904
Data Scientist,Bayer,"Westwood, Saint Louis County",westwood,MO,131919.3,200668.23851536354,3.25,65.74,"At Bayer we're visionaries, driven to solve the world's toughest challenges and striving for a world where 'Health for all Hunger for none' is no longer a dream, but a real possibility. We're doing it with energy, curiosity and sheer dedication, always learning from unique perspectives of those around us, expanding our thinking, growing our capabilities and redefining 'impossible'. There are so many reasons to join us. If you're hungry to build a varied and meaningful career in a community of b…",38.65548,-90.45234
Data Scientist,Siemens,"Roebuck, Spartanburg County",roebuck,SC,137883.8,183845.06666666665,3.8,75.0,"Job Family: Electrical Products Req ID: 485016 Here at Siemens, we take pride in enabling sustainable progress through technology. We do this through empowering customers by combining the real and digital worlds. Improving how we live, work, and move today and for the next generation! We know that the only way a business thrive is if our people are thriving. That's why we always put our people first. Our global, diverse team would be happy to support you and challenge you to grow in new ways. W…",34.959873,-81.904607
Data Scientist,TekSynap,"Washington, D.C., US","washington, d.c.",Unknown,85908.76,114545.01333333332,3.8,75.0,"Responsibilities & Qualifications RESPONSIBILITIES The Data Scientist will focus on designing, curating, and evaluating high-quality datasets and metrics that drive model performance, fairness, and reliability in secure, agentic AI systems. Core responsibilities include:  Design, curate, and maintain large-scale datasets for model training, validation, and simulation - including overhead imagery and multi-modal intelligence data.  Generate synthetic data to address data gaps, class imbalance, a…",38.89969,-77.02717
Data Scientist,J&J Family of Companies,"Raritan, Somerset County",raritan,NJ,119628.49,159504.65333333335,3.8,75.0,"At Johnson & Johnson,?we believe health is everything. Our strength in healthcare innovation empowers us to build a?world where complex diseases are prevented, treated, and cured,?where treatments are smarter and less invasive, and?solutions are personal.?Through our expertise in Innovative Medicine and MedTech, we are uniquely positioned to innovate across the full spectrum of healthcare solutions today to deliver the breakthroughs of tomorrow, and profoundly impact health for humanity.?Learn …",40.571872,-74.638961
Data Scientist,Zions Bancorporation,"Cushing, Salt Lake County",cushing,UT,167902.92,266766.6348903718,3.0,62.94,"Zions Bancorporation's Enterprise Technology and Operations (ETO) team is transforming what it means to work for a financial institution. With a commitment to technology and innovation, we have been providing our community, clients and colleagues the best experience possible for over 150 years. Help us transform our workforce of the future, today. Zions Bancorporation is currently looking for an experienced Data Scientist to join our Enterprise Data Science team. This role focuses on delivering…",40.614915,-111.881551
Data Scientist,University of Rochester,"Rochester, Monroe County",rochester,NY,95426.91,111878.66815170879,3.4,85.295,"As a community, the University of Rochester is defined by a deep commitment to Meliora - Ever Better. Embedded in that ideal are the values we share: equity, leadership, integrity, openness, respect, and accountability. Together, we will set the highest standards for how we treat each other to ensure our community is welcoming to all and is a place where all can thrive. Job Location (Full Address): 135 Corporate Woods, Rochester, New York, United States of America, 14623 Opening: Worker Subtype…",43.16098,-77.62153
Data Scientist,Leidos,"Bethesda, Montgomery County",bethesda,MD,135162.22,183022.64048747462,2.7,73.85,"Description Are you ready to join Leidos all-star team? Through training, teamwork, and exposure to challenging technical work, let Leidos show how to accelerate your career path. Are you a TS/SCI cleared Data Scientist that likes to perform research-level data science/analytics? Come support a major program advancing the state of the art in mission-focused big data and predictive analytics. You will be delivering cutting edge data science capabilities to advance national security objectives, s…",39.000417,-77.10506
Data Scientist,Parsons Corporation,"Fort George G Meade, Anne Arundel County",fort george g meade,MD,178117.47,241188.1787406906,2.7,73.85,"In a world of possibilities, pursue one with endless opportunities. Imagine Next! At Parsons, you can imagine a career where you thrive, work with exceptional people, and be yourself. Guided by our leadership vision of valuing people, embracing agility, and fostering growth, we cultivate an innovative culture that empowers you to achieve your full potential. Unleash your talent and redefine what's possible. Job Description: Parsons is seeking an experienced Data Scientist to provide embedded De…",39.113557,-76.748731
Data Scientist,Chubb,"Simsbury, Hartford County",simsbury,CT,142393.03,178325.64809016907,3.8,79.85,"Chubb’s North America Data and Analytics Division is currently seeking an experienced Lead Data Scientist with 7 years of industry experience to join our fast-paced, high-energy team. As a Lead Data Scientist for NA PC Analytics, you will perform quantitative data analysis to enable organizational decision making and develop solutions to complex business problems and create value to the business. This position offers exposure to a wide variety of analytics tools and technologies as well as uniq…",41.877507,-72.792461
Data Scientist,Insight Global,"Phoenix, Maricopa County",phoenix,AZ,96367.24,150974.83941720196,3.1,63.83,"Job Description Insight Global is looking to hire a Data Scientist to join one of the largest non-profit healthcare systems in the US. This position is responsible for ensuring the seamless operation and optimization of our Supply & Service Resource Management (SSRM) data driven insights, solutions, and processes. In this role, you will be responsible for applying your expertise in data analytics, data engineering, machine learning, and modeling to strengthen SSRM data solutions and processes. …",33.50977,-112.08293
Data Scientist,Meta,"Chisolm, Montgomery County",chisolm,AL,79663.46,106217.94666666667,3.8,75.0,"Summary: Meta Platforms, Inc. (Meta), formerly known as Facebook Inc., builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps and services like Messenger, Instagram, and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. To apply, click …",32.378649,-86.278545
Data Scientist,Meta,"Talcott Village, Hartford County",talcott village,CT,96733.62,121144.17031934878,3.8,79.85,"Summary: Meta Platforms, Inc. (Meta), formerly known as Facebook Inc., builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps and services like Messenger, Instagram, and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. To apply, click …",41.7657,-72.683866
Data Scientist,Meta,"Edgewood, Richland County",edgewood,SC,89046.63,118728.84000000001,3.8,75.0,"Summary: Meta Platforms, Inc. (Meta), formerly known as Facebook Inc., builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps and services like Messenger, Instagram, and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. To apply, click …",34.02978,-81.0075
Data Scientist,Meta,"Madison, Dane County",madison,WI,91301.34,138220.18015290287,2.2,66.055,"Summary: Meta Platforms, Inc. (Meta), formerly known as Facebook Inc., builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps and services like Messenger, Instagram, and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. To apply, click …",43.07611,-89.3816
Data Scientist,Meta,"Wake Island, Honolulu",wake island,HI,82768.98,88315.17285531369,3.5,93.72,"Summary: Meta Platforms, Inc. (Meta), formerly known as Facebook Inc., builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps and services like Messenger, Instagram, and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. To apply, click …",21.3072,-157.8465
Data Scientist,Meta,"Bonnie, Utah County",bonnie,UT,92101.89,146332.84080076264,3.0,62.94,"Summary: Meta Platforms, Inc. (Meta), formerly known as Facebook Inc., builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps and services like Messenger, Instagram, and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. To apply, click …",40.72693,-111.88763
Data Scientist,Meta,"Ny State Campus, Albany County",ny state campus,NY,100448.91,117766.46931238643,4.1,85.295,"Summary: Meta Platforms, Inc. (Meta), formerly known as Facebook Inc., builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps and services like Messenger, Instagram, and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. To apply, click …",42.67264,-73.77562
Data Scientist,Meta,"Cammack Village, Pulaski County",cammack village,AR,134453.33,179271.10666666666,3.8,75.0,"Summary: Meta Platforms, Inc. (Meta), formerly known as Facebook Inc., builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps and services like Messenger, Instagram, and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. To apply, click …",34.752418,-92.344809
Data Scientist,Meta,"Carson Mall, Carson City",carson mall,NV,94237.03,140694.2818751866,5.9,66.98,"Summary: Meta Platforms, Inc. (Meta), formerly known as Facebook Inc., builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps and services like Messenger, Instagram, and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. To apply, click …",39.16387,-119.76618
Data Scientist,Meta,"Atlanta, Fulton County",atlanta,GA,125911.29,174755.43372657878,3.3,72.05,"Summary: Meta Platforms, Inc. (Meta), formerly known as Facebook Inc., builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps and services like Messenger, Instagram, and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. To apply, click …",33.795821,-84.38763
Data Scientist,Meta,"Frankfort, Franklin County",frankfort,KY,97017.53,161051.67662682603,4.4,60.24,"Summary: Meta Platforms, Inc. (Meta), formerly known as Facebook Inc., builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps and services like Messenger, Instagram, and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. To apply, click …",38.2008,-84.8721
Data Scientist,Meta,"Boise, Ada County",boise,ID,88340.35,117787.13333333335,3.4,75.0,"Summary: Meta Platforms, Inc. (Meta), formerly known as Facebook Inc., builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps and services like Messenger, Instagram, and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. To apply, click …",43.61421,-116.21582
Data Scientist,Meta,"Tumwater, Thurston County",tumwater,WA,90883.84,106284.45795813354,3.6,85.51,"Summary: Meta Platforms, Inc. (Meta), formerly known as Facebook Inc., builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps and services like Messenger, Instagram, and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. To apply, click …",47.031096,-122.870669
Data Scientist,Meta,"Pierre, Hughes County",pierre,SD,134856.42,179808.56000000003,3.8,75.0,"Summary: Meta Platforms, Inc. (Meta), formerly known as Facebook Inc., builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps and services like Messenger, Instagram, and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. To apply, click …",44.382775,-100.331046
Data Scientist,Meta,"Glendale, Denver",glendale,CO,105396.73,146343.69619550125,4.6,72.02,"Summary: Meta Platforms, Inc. (Meta), formerly known as Facebook Inc., builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps and services like Messenger, Instagram, and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. To apply, click …",39.739167,-104.984167
Data Scientist,Meta,"Uptown, Marion County",uptown,IN,109812.14,155123.80279700522,3.7,70.79,"Summary: Meta Platforms, Inc. (Meta), formerly known as Facebook Inc., builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps and services like Messenger, Instagram, and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. To apply, click …",39.7878,-86.1587
Data Scientist,Meta,"State House, Lancaster County",state house,NE,110850.55,147800.73333333334,2.8,75.0,"Summary: Meta Platforms, Inc. (Meta), formerly known as Facebook Inc., builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps and services like Messenger, Instagram, and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. To apply, click …",40.822932,-96.676821
Data Scientist,Meta,"Washington, D.C., US","washington, d.c.",Unknown,91187.18,121582.90666666666,3.8,75.0,"Summary: Meta Platforms, Inc. (Meta), formerly known as Facebook Inc., builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps and services like Messenger, Instagram, and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. To apply, click …",38.89969,-77.02717
Data Scientist,Meta,"Five Points, Wake County",five points,NC,100063.12,140429.61195705566,3.0999999999999996,71.255,"Summary: Meta Platforms, Inc. (Meta), formerly known as Facebook Inc., builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps and services like Messenger, Instagram, and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. To apply, click …",35.807915,-78.646597
Data Scientist,Meta,"Nashville, Davidson County",nashville,TN,92689.35,137043.46861831893,3.0,67.63499999999999,"Summary: Meta Platforms, Inc. (Meta), formerly known as Facebook Inc., builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps and services like Messenger, Instagram, and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. To apply, click …",36.14946,-86.78903
Data Scientist,Meta,"Salem, Marion County",salem,OR,85569.02,114873.16418311182,4.1,74.49000000000001,"Summary: Meta Platforms, Inc. (Meta), formerly known as Facebook Inc., builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps and services like Messenger, Instagram, and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. To apply, click …",44.94379,-123.02826
Data Scientist,Meta,"Topeka, Shawnee County",topeka,KS,91252.59,121670.12,3.8,75.0,"Summary: Meta Platforms, Inc. (Meta), formerly known as Facebook Inc., builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps and services like Messenger, Instagram, and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. To apply, click …",39.04853,-95.68007
